algo,seed,auc_raw,auc_norm
ACTAR,42,0.297490167498845,0.7437254187471124
ACTAR,43,0.30140999502222127,0.7535249875555531
ACTAR,44,0.3031014357573626,0.7577535893934064
ACTAR,45,0.29913288218717804,0.747832205467945
ACTAR,46,0.3002804076635164,0.750701019158791
DST_WOA,42,0.30216114722726184,0.7554028680681546
DST_WOA,43,0.3055925086434467,0.7639812716086167
DST_WOA,44,0.3032148040673408,0.758037010168352
DST_WOA,45,0.30699762987645174,0.7674940746911293
DST_WOA,46,0.3044620941264137,0.7611552353160341
SHEER,42,0.2997756780699748,0.749439195174937
SHEER,43,0.3029024368297949,0.7572560920744872
SHEER,44,0.30089200059722593,0.7522300014930647
SHEER,45,0.3037730578062996,0.759432644515749
SHEER,46,0.2984756358743309,0.7461890896858272
TFSM_DPC,42,0.3007608533305135,0.7519021333262838
TFSM_DPC,43,0.304588902643363,0.7614722566084076
TFSM_DPC,44,0.3059593586480986,0.7648983966202464
TFSM_DPC,45,0.2979079597100114,0.7447698992750285
TFSM_DPC,46,0.30065559275383696,0.7516389818845923
TRAIL,42,0.3145698980793287,0.7864247451983217
TRAIL,43,0.31663685055609064,0.7915921263902266
TRAIL,44,0.31616491616545733,0.7904122904136432
TRAIL,45,0.3173263114544001,0.7933157786360002
TRAIL,46,0.31507750302087956,0.7876937575521988
